Ensemble.Gene.ID	Dog.Ensembl.Gene.ID
ENSG00000198888	ENSCAFG00000022713
ENSG00000198763	ENSCAFG00000022717
ENSG00000198804	ENSCAFG00000022723
ENSG00000198712	ENSCAFG00000022726
ENSG00000228253	ENSCAFG00000022728
ENSG00000198899	ENSCAFG00000022729
ENSG00000198899	ENSCAFG00000023218
ENSG00000198938	ENSCAFG00000022730
ENSG00000198840	ENSCAFG00000022732
ENSG00000212907	ENSCAFG00000003318
ENSG00000212907	ENSCAFG00000022734
ENSG00000198886	ENSCAFG00000022735
ENSG00000198786	ENSCAFG00000022739
ENSG00000198695	ENSCAFG00000022740
ENSG00000198727	ENSCAFG00000022742
ENSG00000278625	ENSCAFG00000028227
ENSG00000274917	ENSCAFG00000027890
ENSG00000276017	ENSCAFG00000045459
ENSG00000276017	ENSCAFG00000023257
ENSG00000276017	ENSCAFG00000044995
ENSG00000278817	ENSCAFG00000014151
ENSG00000277196	ENSCAFG00000014154
ENSG00000278633	ENSCAFG00000045459
ENSG00000278633	ENSCAFG00000023257
ENSG00000278633	ENSCAFG00000044995
ENSG00000273748	ENSCAFG00000007135
ENSG00000276345	ENSCAFG00000010086
ENSG00000276700	ENSCAFG00000027890
ENSG00000275757	ENSCAFG00000027890
ENSG00000273554	ENSCAFG00000019243
ENSG00000277836	ENSCAFG00000045674
ENSG00000251841	ENSCAFG00000026181
ENSG00000176679	ENSCAFG00000017450
ENSG00000252900	ENSCAFG00000030203
ENSG00000099715	ENSCAFG00000017457
ENSG00000252468	ENSCAFG00000021131
ENSG00000092377	ENSCAFG00000011362
ENSG00000251996	ENSCAFG00000021535
ENSG00000252472	ENSCAFG00000026324
ENSG00000277890	ENSCAFG00000027837
ENSG00000277666	ENSCAFG00000008291
ENSG00000274792	ENSCAFG00000030818
ENSG00000243980	ENSCAFG00000048994
ENSG00000279493	ENSCAFG00000010721
ENSG00000277117	ENSCAFG00000010718
ENSG00000280071	ENSCAFG00000041383
ENSG00000276612	ENSCAFG00000041383
ENSG00000275464	ENSCAFG00000010687
ENSG00000280433	ENSCAFG00000010669
ENSG00000275993	ENSCAFG00000010596
ENSG00000274276	ENSCAFG00000010539
ENSG00000275895	ENSCAFG00000010572
ENSG00000276076	ENSCAFG00000010584
ENSG00000223024	ENSCAFG00000028227
ENSG00000206787	ENSCAFG00000027837
ENSG00000198033	ENSCAFG00000031767
ENSG00000277277	ENSCAFG00000009551
ENSG00000278961	ENSCAFG00000037920
ENSG00000132958	ENSCAFG00000005944
ENSG00000276289	ENSCAFG00000009554
ENSG00000278233	ENSCAFG00000027890
ENSG00000196199	ENSCAFG00000045568
ENSG00000121390	ENSCAFG00000043712
ENSG00000132950	ENSCAFG00000007359
ENSG00000121741	ENSCAFG00000007342
ENSG00000274391	ENSCAFG00000005944
ENSG00000121743	ENSCAFG00000007321
ENSG00000165474	ENSCAFG00000029537
ENSG00000121742	ENSCAFG00000007316
ENSG00000165475	ENSCAFG00000007288
ENSG00000032742	ENSCAFG00000007250
ENSG00000222726	ENSCAFG00000025758
ENSG00000172458	ENSCAFG00000032032
ENSG00000150456	ENSCAFG00000007231
ENSG00000132953	ENSCAFG00000007222
ENSG00000223287	ENSCAFG00000028227
ENSG00000150457	ENSCAFG00000007207
ENSG00000188992	ENSCAFG00000008007
ENSG00000150459	ENSCAFG00000032070
ENSG00000150459	ENSCAFG00000000646
ENSG00000165480	ENSCAFG00000007184
ENSG00000173141	ENSCAFG00000004240
ENSG00000185272	ENSCAFG00000030228
ENSG00000180776	ENSCAFG00000007179
ENSG00000165487	ENSCAFG00000007172
ENSG00000102678	ENSCAFG00000029890
ENSG00000155304	ENSCAFG00000031126
ENSG00000155307	ENSCAFG00000031013
ENSG00000253094	ENSCAFG00000027643
ENSG00000102683	ENSCAFG00000007161
ENSG00000151835	ENSCAFG00000007146
ENSG00000127863	ENSCAFG00000007136
ENSG00000180530	ENSCAFG00000008092
ENSG00000027001	ENSCAFG00000007132
